"DEPARTAMENTO","UBIGEO","total_superior","total_no_superior","total_lee","total_no_lee","total_fallecidos","Castillo","Fujimori","Participación","Electores","porc_Castillo","porc_Fujimori","total_educacion","porc_superior","porc_no_superior","total_alfabetismo","porc_lee","porc_no_lee","porc_fallecidos"
"AMAZONAS",459206,290,3547,883,586,1343,34464,17815,184057,306186,11.2559032744802,5.8183587753849,3837,7.55798801146729,92.4420119885327,1469,60.1089176310415,39.8910823689585,0.438622275348971
"ANCASH",1646570,539,4021,868,697,6908,110620,67394,613850,886265,12.4815941056005,7.60427185999673,4560,11.8201754385965,88.1798245614035,1565,55.4632587859425,44.5367412140575,0.779450841452613
"APURIMAC",1731207,247,2613,515,566,1562,88812,10879,219260,316000,28.1050632911392,3.44272151898734,2860,8.63636363636364,91.3636363636364,1081,47.641073080481,52.358926919519,0.494303797468354
"AREQUIPA",2581521,903,3821,704,442,10335,256224,40216,902243,1145268,22.3724054107859,3.51149250655742,4724,19.1151566469094,80.8848433530906,1146,61.4310645724258,38.5689354275742,0.902408868491916
"AYACUCHO",3434809,320,2939,654,631,2237,130224,24506,324821,473282,27.5150967076711,5.17788548898965,3259,9.81896287204664,90.1810371279534,1285,50.8949416342412,49.1050583657588,0.472656893775804
"CAJAMARCA",4609148,375,3823,956,782,4209,232418,54962,690647,1103247,21.0667239521159,4.9818399687468,4198,8.93282515483564,91.0671748451644,1738,55.005753739931,44.994246260069,0.381510214847627
"CALLAO",420623,559,2741,383,224,10914,33750,79699,620240,824496,4.09340979216394,9.66639013409404,3300,16.9393939393939,83.0606060606061,607,63.0971993410214,36.9028006589786,1.32371776212377
"CUSCO",5814130,444,3385,771,719,4818,232178,27132,753802,1025280,22.6453261548065,2.64630149812734,3829,11.5957168973622,88.4042831026378,1490,51.744966442953,48.255033557047,0.469920411985019
"HUANCAVELICA",5878406,236,2769,586,546,1187,79895,8449,202550,299843,26.6456112031963,2.81780798617943,3005,7.85357737104825,92.1464226289518,1132,51.7667844522968,48.2332155477032,0.39587384064327
"HUANUCO",6134312,335,3632,829,748,2836,110978,32827,400380,586411,18.9249519534934,5.59795092520434,3967,8.44466851525082,91.5553314847492,1577,52.568167406468,47.431832593532,0.483619850241554
"ICA",4299921,897,3879,670,447,9112,56627,62102,494869,651364,8.6936029623989,9.53414680577987,4776,18.7814070351759,81.2185929648241,1117,59.9820948970457,40.0179051029543,1.39891059376938
"JUNIN",9514275,629,4007,715,631,7289,131438,80057,706771,982556,13.3771510224354,8.14783075977349,4636,13.5677308024159,86.4322691975841,1346,53.1203566121843,46.8796433878157,0.741840668623468
"LA LIBERTAD",7312660,700,4393,1029,695,10857,90324,131866,985295,1429469,6.31870995453557,9.22482404305375,5093,13.7443549970548,86.2556450029452,1724,59.6867749419954,40.3132250580046,0.759512798108948
"LAMBAYEQUE",5046698,718,4269,854,589,9494,73279,121263,698050,977656,7.49537669691589,12.4034425196593,4987,14.3974333266493,85.6025666733507,1443,59.1822591822592,40.8177408177408,0.971098218596316
"LIMA",18002455,3260,13947,2061,1327,97196,416743,754216,6206220,8322644,5.00733901389991,9.06221628607447,17207,18.9457778810949,81.0542221189051,3388,60.8323494687131,39.1676505312869,1.16785002458353
"LORETO",6896202,477,5254,1038,1005,4474,15662,52344,426483,699964,2.23754364510175,7.47809887365636,5731,8.32315477229105,91.676845227709,2043,50.8076358296623,49.1923641703377,0.639175729037493
"MADRE DE DIOS",1872126,216,1709,390,225,893,23945,7278,82810,116513,20.5513547844447,6.24651326461425,1925,11.2207792207792,88.7792207792208,615,63.4146341463415,36.5853658536585,0.766438079870916
"MOQUEGUA",3063167,588,2032,381,250,1719,33665,4617,114532,148367,22.6903556720834,3.11187797825662,2620,22.4427480916031,77.5572519083969,631,60.3803486529319,39.6196513470681,1.15861343829827
"PASCO",4944943,310,2604,536,391,1102,34187,12607,127727,200682,17.0354092544424,6.28207811363251,2914,10.6382978723404,89.3617021276596,927,57.8209277238403,42.1790722761597,0.549127475309196
"PIURA",11022092,646,5116,1180,827,13071,71028,173933,932186,1396448,5.08633332569491,12.4553868099636,5762,11.2113849357862,88.7886150642138,2007,58.7942202291978,41.2057797708022,0.936017667682578
"PUNO",13687444,310,2865,526,487,4476,292218,17514,755252,922016,31.6933762537743,1.89953319682088,3175,9.76377952755906,90.2362204724409,1013,51.9249753208292,48.0750246791708,0.485457953007323
"SAN MARTIN",11912142,425,4118,978,712,3123,67000,46699,440129,636330,10.5291279681926,7.33880219383024,4543,9.35505172793308,90.6449482720669,1690,57.8698224852071,42.1301775147929,0.490783084248739
"TACNA",4373790,618,3219,592,310,2266,64521,9363,220145,282974,22.8010347240383,3.30878455264441,3837,16.1063330727131,83.8936669272869,902,65.6319290465632,34.3680709534368,0.800780283700976
"TUMBES",3122437,357,2426,532,330,1774,7613,36403,125092,167771,4.53773298126613,21.6980288607685,2783,12.8278835788717,87.1721164211283,862,61.7169373549884,38.2830626450116,1.0573937092823
"UCAYALI",3752849,358,3726,853,606,3306,26339,40510,258403,389889,6.75551246636863,10.3901366799269,4084,8.76591576885406,91.2340842311459,1459,58.4647018505826,41.5352981494174,0.84793364265214
